Category: Iranian
Shecan: 178.22.122.100, 185.51.200.2
Radar: 10.202.10.10, 10.202.10.11
Electro: 78.157.42.100, 78.157.42.101
Begzar: 185.55.225.25, 185.55.226.26
403: 10.202.10.202, 10.202.10.102
Shatel: 85.15.1.14, 85.15.1.15
Shelter: 78.157.60.6, 78.157.60.242
Beshkan: 181.41.194.177, 181.41.194.186
Shecan 2: 178.22.122.101, 185.51.200.1
Begzar 2: 185.55.224.24,
Shelter 2: 91.92.250.185, 91.92.244.233
Hamrah Aval: 208.67.220.200, 208.67.222.222
Irancell: 74.82.42.42, 0.0.0.0
Rightel: 91.239.100.100, 89.223.43.71
NobarCloud: 78.110.120.220, 78.110.120.200
DynX: 193.24.103.1, 193.24.103.2

Category: Foreign
Google: 8.8.8.8, 8.8.4.4
Cloudflare: 1.1.1.1, 1.0.0.1
OpenDNS: 208.67.222.222, 208.67.220.220
Comodo: 8.26.56.26, 8.20.247.20
Quad9: 9.9.9.9, 49.112.112.112
AlternateDNS: 76.76.19.19, 76.223.122.150
Control D: 76.76.2.0, 76.76.10.0
Yandex: 77.88.8.8, 77.88.8.1
Cisco: 208.67.222.222, 208.67.222.20
Verisign: 64.6.64.6, 64.6.65.6
